CountryCode,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
LMC,Lower middle income,,,,,,,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2011 GNI per capita was between $1,026 and $4,035.",,,,,,,,,,,,,,,,,,XN,XN,Lower middle income,Lower middle income
LMY,Low & middle income,,,,,,,,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2011 GNI per capita was $12,475 or less.",,,,,,,,,,,,,,,,,,XO,XO,Low & middle income,Low & middle income
LSO,Kingdom of Lesotho,Lower middle income,Sub-Saharan Africa,IDA,,Lesotho loti,2006,"Demographic and Health Survey (DHS), 2009",Fiscal year end: March 31; reporting period for national accounts data: CY.,1995,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2002/03",,2010,,2009,2000,LS,LS,Lesotho,Lesotho
LTU,Republic of Lithuania,High income: nonOECD,Europe & Central Asia,,,Lithuanian litas,2011,,,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1990–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2008",Yes,2010,2009,2011,2007,LT,LT,Lithuania,Lithuania
LUX,Grand Duchy of Luxembourg,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),,Yes,2010,2009,2011,1999,LU,LU,Luxembourg,Luxembourg
LVA,Republic of Latvia,High income: nonOECD,Europe & Central Asia,,,Latvian lats,2011,,,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2008",Yes,2010,2009,2011,2002,LV,LV,Latvia,Latvia
MAC,Macao Special Administrative Region of the People's Republic of China,High income: nonOECD,East Asia & Pacific,,,Macao pataca,2011,,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",,2011,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,General Data Dissemination System (GDDS),,Yes,,2009,2007,,MO,MO,"Macao SAR, China","Macao SAR, China"
MAF,St. Martin (French part),High income: nonOECD,Latin America & Caribbean,,,Euro,,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,,,,,,,,,,,MF,MF,St. Martin (French part),St. Martin (French part)
MAR,Kingdom of Morocco,Lower middle income,Middle East & North Africa,IBRD,,Moroccan dirham,2004,"Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006",,1998,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2007",,2012,2009,2010,2000,MA,MA,Morocco,Morocco
MCO,Principality of Monaco,High income: nonOECD,Europe & Central Asia,,,Euro,2008,,,1990,,Country uses the 1993 System of National Accounts methodology.,,,,,,Special trade system,,,,Yes,,,,2009,MC,MC,Monaco,Monaco
MDA,Republic of Moldova,Lower middle income,Europe & Central Asia,IDA,,Moldovan leu,2004,"Multiple Indicator Cluster Survey (MICS), 2012",,Original chained constant price data are rescaled.,1996,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2010",Yes,2011,2009,2011,2007,MD,MD,Moldova,Moldova
MDG,Republic of Madagascar,Low income,Sub-Saharan Africa,IDA,HIPC,Malagasy ariary,1993,"Malaria Indicator Survey (MIS), 2011",,1984,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Priority survey (PS), 2010",,,2006,2011,2000,MG,MG,Madagascar,Madagascar
MDV,Republic of Maldives,Upper middle income,South Asia,IDA,,Maldivian rufiyaa,2006,"Demographic and Health Survey (DHS), 2009",April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.,2003,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010",Yes,,,2011,2008,MV,MV,Maldives,Maldives
MEA,Middle East & North Africa (all income levels),,,,,,,,Middle East and North Africa regional aggregate (including high-income economies).,,,,,,,,,,,,,,,,,,ZQ,ZQ,Middle East & North Africa (all income levels),Middle East & North Africa (all income levels)
MEX,United Mexican States,Upper middle income,Latin America & Caribbean,IBRD,,Mexican peso,2010,"National Family Planning Survey (ENPF), 1995",,2003,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2008,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Labor force survey (LFS), 2010",,2007,2007,2011,2009,MX,MX,Mexico,Mexico
MHL,Republic of the Marshall Islands,Upper middle income,East Asia & Pacific,IDA,,U.S. dollar,2011,,,2004,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,,,General trade system,,,,,,,,,MH,MH,Marshall Islands,Marshall Islands
MIC,Middle income,,,,,,,,"Middle income group aggregate. Middle-income economies are those in which 2011 GNI per capita was between $1,026 and $12,475.",,,,,,,,,,,,,,,,,,XP,XP,Middle income,Middle income
MKD,Former Yugoslav Republic of Macedonia,Upper middle income,Europe & Central Asia,IBRD,,Macedonian denar,2011,"Multiple Indicator Cluster Survey (MICS), 2011","April 2012 database update: Based on official statistics, national accounts data were revised for 2003 onward.",1995,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2009",Yes,2007,2009,2011,2007,MK,MK,"Macedonia, FYR",Macedonia
MLI,Republic of Mali,Low income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2009,"Demographic and Health Survey (DHS), 2012",,1987,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2009/10",,,,2010,2000,ML,ML,Mali,Mali
MLT,Republic of Malta,High income: nonOECD,Middle East & North Africa,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),,Yes,2010,2008,2011,2002,MT,MT,Malta,Malta
MMR,Republic of the Union of Myanmar,Low income,East Asia & Pacific,IDA,,Myanmar kyat,1983,"Multiple Indicator Cluster Survey (MICS), 2009/10",Fiscal year end: March 31; reporting period for national accounts data: FY.,2005/06,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Consolidated central government,,,,2011/12,2003,2010,2000,MM,MM,Myanmar,Myanmar
MNA,Middle East & North Africa (developing only),,,,,,,,Middle East and North Africa regional aggregate (does not include high-income economies).,,,,,,,,,,,,,,,,,,XQ,XQ,Middle East & North Africa,Middle East & North Africa (developing only)
MNE,Montenegro,Upper middle income,Europe & Central Asia,IBRD,,Euro,2011,"Multiple Indicator Cluster Survey (MICS), 2005/06","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2011",Yes,2010,,2011,2010,ME,ME,Montenegro,Montenegro
MNG,Mongolia,Lower middle income,East Asia & Pacific,Blend,,Mongolian tugrik,2010,"Multiple Indicator Cluster Survey (MICS), 2010",,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Living Standards Measurement Study Survey (LSMS), 2011",Yes,2012,2008,2007,2009,MN,MN,Mongolia,Mongolia
MNP,Commonwealth of the Northern Mariana Islands,High income: nonOECD,East Asia & Pacific,,,U.S. dollar,2010,,,,,Country uses the 1968 System of National Accounts methodology.,,,,,,,,,,,,,,,MP,MP,Northern Mariana Islands,Northern Mariana Islands
MOZ,Republic of Mozambique,Low income,Sub-Saharan Africa,IDA,HIPC,New Mozambican metical,2007,"Demographic and Health Survey (DHS), 2011",,2003,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2008/09",,2010,,2011,2001,MZ,MZ,Mozambique,Mozambique
MRT,Islamic Republic of Mauritania,Lower middle income,Sub-Saharan Africa,IDA,HIPC,Mauritanian ouguiya,2000,"Multiple Indicator Cluster Survey (MICS), 2011","April 2012 database update: Based on official government statistics, data were revised for 1991 onward; the base year for constant price series changed to 2004.",2004,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2008",,,,2011,2005,MR,MR,Mauritania,Mauritania
MUS,Republic of Mauritius,Upper middle income,Sub-Saharan Africa,IBRD,,Mauritian rupee,2011,"Reproductive Health Survey (RHS), 1991","In 2010, national accounts were revised to reflect fiscal year data rather than calendar year data.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),,Yes,,2007,2011,2003,MU,MU,Mauritius,Mauritius
MWI,Republic of Malawi,Low income,Sub-Saharan Africa,IDA,HIPC,Malawi kwacha,2008,"Malaria Indicator Survey (MIS), 2012; Living Standards Measurement Study Survey (LSMS), 2010/11","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2003 onward; the new base year is 2007.",2007,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010/11",,2007,2009,2011,2005,MW,MW,Malawi,Malawi
MYS,Malaysia,Upper middle income,East Asia & Pacific,IBRD,,Malaysian ringgit,2010,,"Based on data from the National Statistics Office, national accounts data in current prices have been revised for 2005 onward. Base year has changed to 2005.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2009",Yes,2012,2008,2011,2005,MY,MY,Malaysia,Malaysia
NAC,North America,,,,,,,,North America regional aggregate. There are no economies in North America classified as low or middle income.,,,,,,,,,,,,,,,,,,XU,XU,North America,North America
NAM,Republic of Namibia,Upper middle income,Sub-Saharan Africa,IBRD,,Namibian dollar,2011,"HIV/Maternal and Child Health (HIV/MCH), 2009","Fiscal year end: March 31; reporting period for national accounts data: CY. In 2010, the Central Bureau of Statistics revised national accounts data for 2000-07. An expanded data survey resulted in a substantial upward adjustment to estimates of output, particularly in mining, services, and manufacturing. The constant price series were rebased from 1995 to 2004 prices. GDP in current prices averaged 14 percent higher than previous estimates.",2004/05,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2003/04",,,,2011,2002,NA,NA,Namibia,Namibia
NCL,New Caledonia,High income: nonOECD,East Asia & Pacific,,,CFP franc,2009,,,1990,,Country uses the 1993 System of National Accounts methodology.,,,,,,Special trade system,,,,Yes,,,2011,,NC,NC,New Caledonia,New Caledonia
NER,Republic of Niger,Low income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2012,"Demographic and Health Survey (DHS), 2012",Base year has changed to 2006.,2006,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2008",,2008,2002,2011,2005,NE,NE,Niger,Niger
NGA,Federal Republic of Nigeria,Lower middle income,Sub-Saharan Africa,IDA,,Nigerian naira,2006,"Multiple Indicator Cluster Survey (MICS), 2011",,2002,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1971–98,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010",,2007,,2011,2005,NG,NG,Nigeria,Nigeria
NIC,Republic of Nicaragua,Lower middle income,Latin America & Caribbean,IDA,HIPC,Nicaraguan gold cordoba,2005,"Reproductive Health Survey (RHS), 2006/2007","Based on official government statistics, national accounts data have been revised for 1994 onward; the new base year is 2006.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1965–95,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Living Standards Measurement Study Survey (LSMS), 2009",,2011,,2011,2001,NI,NI,Nicaragua,Nicaragua
NLD,Kingdom of the Netherlands,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 1999",Yes,2010,2008,2011,2008,NL,NL,Netherlands,Netherlands
NOC,High income: nonOECD,,,,,,,,"High income nonOECD aggregate. High-income economies are those in which 2011 GNI per capita was $12,476 or more.",,,,,,,,,,,,,,,,,,XR,XR,High income: nonOECD,High income: nonOECD
NOR,Kingdom of Norway,High income: OECD,Europe & Central Asia,,,Norwegian krone,2011,,,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2000",Yes,2010,2008,2011,2006,NO,NO,Norway,Norway
NPL,Nepal,Low income,South Asia,IDA,,Nepalese rupee,2011,"Demographic and Health Survey (DHS), 2011",Fiscal year end: July 14; reporting period for national accounts data: FY.,2000/01,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Living Standards Measurement Study Survey (LSMS), 2011",,2012,2008,2011,2006,NP,NP,Nepal,Nepal
NZL,New Zealand,High income: OECD,East Asia & Pacific,,,New Zealand dollar,2006,,Fiscal year end: March 31; reporting period for national accounts data: FY.,2005/06,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2008,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,,"Income survey (IS), 1997",Yes,2012,2008,2011,2002,NZ,NZ,New Zealand,New Zealand
OEC,High income: OECD,,,,,,,,"High income OECD members aggregate. High-income economies are those in which 2011 GNI per capita was $12,476 or more.",,,,,,,,,,,,,,,,,,XS,XS,High income: OECD,High income: OECD
OED,OECD members,,,,,,,,"OECD members aggregate (all, including developing countries).",,,,,,,,,,,,,,,,,,OE,OE,OECD members,OECD members
OMN,Sultanate of Oman,High income: nonOECD,Middle East & North Africa,,,Rial Omani,2010,"Multiple Indicator Cluster Survey (MICS), 2012",,1988,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),,,,2007,2011,2003,OM,OM,Oman,Oman
OSS,Other small states,,,,,,,,"Other small states aggregate. Includes Bhutan, Botswana, Cape Verde, Comoros, Djibouti, Equatorial Guinea, Gabon, The Gambia, Guinea-Bissau, Lesotho, Maldives, Mauritius, Montenegro, Namibia, Sao Tome and Principe, Seychelles, Swaziland, and Timor-Leste.",,,,,,,,,,,,,,,,,,S4,S4,Other small states,Other small states
PAK,Islamic Republic of Pakistan,Lower middle income,South Asia,Blend,,Pakistani rupee,1998,"Demographic and Health Survey (DHS), 2012",Fiscal year end: June 30; reporting period for national accounts data: FY.,1999/2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2008",,2010,2006,2011,2008,PK,PK,Pakistan,Pakistan
PAN,Republic of Panama,Upper middle income,Latin America & Caribbean,IBRD,,Panamanian balboa,2010,"Living Standards Measurement Study Survey (LSMS), 2008",,1996,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Labor force survey (LFS), 2010",,2011,2001,2011,2000,PA,PA,Panama,Panama
PER,Republic of Peru,Upper middle income,Latin America & Caribbean,IBRD,,Peruvian new sol,2007,"Continuous Demographic and Health Survey (DHS), 2012",,1994,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1985–90,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2011",,2012,2007,2011,2000,PE,PE,Peru,Peru
PHL,Republic of the Philippines,Lower middle income,East Asia & Pacific,IBRD,,Philippine peso,2010,"Demographic and Health Survey (DHS), 2008","April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.",2000,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2009",Yes,2012,2006,2011,2009,PH,PH,Philippines,Philippines
PLW,Republic of Palau,Upper middle income,East Asia & Pacific,IBRD,,U.S. dollar,2010,,Base year has changed to 2005. Source: PitiViti 2012 Economic Review.,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,,,Special trade system,,,,Yes,,,,,PW,PW,Palau,Palau
PNG,The Independent State of Papua New Guinea,Lower middle income,East Asia & Pacific,Blend,,Papua New Guinea kina,2011,"Living Standards Measurement Study Survey (LSMS), 1996",,1998,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1989,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 1996",,,,2004,2005,PG,PG,Papua New Guinea,Papua New Guinea
POL,Republic of Poland,High income: OECD,Europe & Central Asia,IBRD,,Polish zloty,2011,,,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2010",Yes,2010,2009,2011,2009,PL,PL,Poland,Poland
PRI,Puerto Rico,High income: nonOECD,Latin America & Caribbean,,,U.S. dollar,2010,"Reproductive Health Survey (RHS), 1995/1996","Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: Based on data from the Instituto de Estadísticas de Puerto Rico, national accounts data were revised for 2001 onward.",1954,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,,,,General trade system,,,,Yes,2007,2006,,2005,PR,PR,Puerto Rico,Puerto Rico
PRK,Democratic People's Republic of Korea,Low income,East Asia & Pacific,,,Democratic People's Republic of Korean won,2008,"Multiple Indicator Cluster Survey (MICS), 2009",,,,Country uses the 1968 System of National Accounts methodology.,,,,"IMF Balance of Payments Manual, 6th edition.",,,,,,,,,,2005,KP,KP,"Korea, Dem. Rep.",Dem. People's Rep. Korea
PRT,Portuguese Republic,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 1997",Yes,2009,2009,2011,2002,PT,PT,Portugal,Portugal
PRY,Republic of Paraguay,Lower middle income,Latin America & Caribbean,IBRD,,Paraguayan guarani,2012,"Reproductive Health Survey (RHS), 2008","SNA data have been revised for 1960-2012. The methodology and base year have not changed but hydroelectric output shared with neighboring countries has been added. On the supply side, it was added in ""gas, electricity and water."" On the demand side changes were mainly to exports, but also for imports, investment and consumption leading to upward GDP revisions for 1990-2012. SNA price valuation for 1991-2012 has also been corrected and changed from VAP to VAB.",1994,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2011",,2008,2002,2011,2000,PY,PY,Paraguay,Paraguay
PSS,Pacific island small states,,,,,,,,"Pacific island small states aggregate. Includes Fiji, Kiribati, Marshall Islands, Federated States of Micronesia, Palau, Samoa, Solomon Islands, Tonga, Tuvalu, and Vanuatu.",,,,,,,,,,,,,,,,,,S2,S2,Pacific island small states,Pacific island small states
PYF,French Polynesia,High income: nonOECD,East Asia & Pacific,,,CFP franc,2007,,,1990/91,,Country uses the 1993 System of National Accounts methodology.,,,,,,Special trade system,,,,Yes,,,2011,,PF,PF,French Polynesia,French Polynesia
QAT,State of Qatar,High income: nonOECD,Middle East & North Africa,,,Qatari riyal,2010,"Multiple Indicator Cluster Survey (MICS), 2012",,2001,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,,,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),,Yes,,2006,2010,2005,QA,QA,Qatar,Qatar
ROM,Romania,Upper middle income,Europe & Central Asia,IBRD,,New Romanian leu,2011,"Reproductive Health Survey (RHS), 1999",,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),"1987–89, 1992",Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Labor force survey (LFS), 2010",Yes,2010,2009,2011,2009,RO,RO,Romania,Romania
RUS,Russian Federation,High income: nonOECD,Europe & Central Asia,IBRD,,Russian ruble,2010,"Living Standards Measurement Study Survey (LSMS), 1992",,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1987–95,2008,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2010",Yes,2006,2009,2011,2001,RU,RU,Russian Federation,Russia
RWA,Republic of Rwanda,Low income,Sub-Saharan Africa,IDA,HIPC,Rwandan franc,2012,"Special Demographic and Health Survey (DHS), 2011","Based on official government statistics, national accounts data have been revised for 1999 onward; the new base year is 2006.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),1994,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2011",,2008,,2011,2000,RW,RW,Rwanda,Rwanda
SAS,South Asia,,,,,,,,South Asia regional aggregate. There are no economies in South Asia classified as high income.,,,,,,,,,,,,,,,,,,8S,8S,South Asia,South Asia
SAU,Kingdom of Saudi Arabia,High income: nonOECD,Middle East & North Africa,,,Saudi Arabian riyal,2010,"Demographic survey, 2007",,1999,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,,General Data Dissemination System (GDDS),,,2010,2006,2011,2006,SA,SA,Saudi Arabia,Saudi Arabia
SDN,Republic of the Sudan,Lower middle income,Sub-Saharan Africa,IDA,HIPC,Sudanese pound,2008,"Sudan Household Health Survey (SHHS), 2010","Total population data are reported separately for Sudan and South Sudan; see specific notes for other demographic-related series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan include South Sudan unless otherwise noted.",1981/82. Reporting period switch from fiscal year to calendar year from 1996. Pre-1996 data converted to calendar year.,1996,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2009",,,2001,2009,2005. Includes South Sudan.,SD,SD,Sudan,Sudan
SEN,Republic of Senegal,Lower middle income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2002,"Continuous Demographic and Health Survey (DHS), 2012",,1999,1987,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Priority survey (PS), 2010/11",,2011/12,2009,2011,2002,SN,SN,Senegal,Senegal
